iter	Passed	Remaining
912	6554	624
913	6556	616
914	6559	609
915	6578	603
916	6581	595
917	6584	588
918	6588	580
919	6593	573
920	6596	565
921	6600	558
922	6603	550
923	6610	543
924	6636	538
925	6642	530
926	6645	523
927	6648	515
928	6651	508
929	6654	500
930	6657	493
931	6660	485
932	6662	478
933	6676	471
934	6679	464
935	6685	457
936	6688	449
937	6691	442
938	6694	434
939	6701	427
940	6705	420
941	6707	413
942	6711	405
943	6719	398
944	6722	391
945	6724	383
946	6726	376
947	6734	369
948	6737	362
949	6741	354
950	6747	347
951	6751	340
952	6754	333
953	6757	325
954	6764	318
955	6769	311
956	6785	304
957	6789	297
958	6797	290
959	6802	283
960	6804	276
961	6814	269
962	6818	261
963	6821	254
964	6830	247
965	6833	240
966	6838	233
967	6846	226
968	6849	219
969	6852	211
970	6861	204
971	6863	197
972	6880	190
973	6890	183
974	6893	176
975	6896	169
976	6911	162
977	6915	155
978	6922	148
979	6925	141
980	6929	134
981	6937	127
982	6946	120
983	6953	113
984	6956	105
985	6976	99
986	6979	91
987	6991	84
988	6994	77
989	7004	70
990	7007	63
991	7010	56
992	7016	49
993	7032	42
994	7039	35
995	7044	28
996	7051	21
997	7062	14
998	7066	7
999	7075	0
